,keys,value
1002,turn,"{'1047, 5': 'The power is turned on.', '1146, 3': 'All the hydrogen is turned into helium.', '1293, 9': 'The power is turned on.', '157, 7': 'The ingots can now be turned into new aluminum products.', '159, 6': 'Turned into molten aluminium.', '390, 5': ""The water's energy iis turned nto electrical energy."", '392, 3': 'Water pumped through pipes inside the boiler is turned into steam by the heat.', '394, 4': 'Generator is turned.', '400, 5': 'The energy is turned into electricity.', '422, 4': 'Water is turned into steam in the boiler.', '499, 2': 'The flashlight is turned on.', '499, 8': 'The flashlight is turned off.', '545, 7': 'The final product is turned into urine.', '658, 6': 'The caterpillar completes its metamorphosis and has turned into a butterfly.', '671, 7': 'When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.', '698, 4': 'The melted metal is turned into bars.', '699, 6': 'Turned into molten aluminum.', '821, 3': 'The heated water is turned into steam.', '842, 7': 'When turned off it is no longer magnetic.', '844, 5': 'The magnetic field can be turned on and off by starting or stopping the electricity source.', '874, 3': 'In the factory the oil is processed and turned into fuel.', '903, 4': 'Which is turned into chemical energy.'}"
1003,turn,"{'1294, 5': 'Turning on the machine starts the water heating.'}"
1004,turn,"{'1033, 4': 'The mud around the skeleton turns into rock.', '1132, 4': 'The evaporation turns the nectar into sugary honey.', '1132, 5': 'The bees chew the honey until it turns into moldable wax.', '1147, 2': 'All of the hydrogen in a star turns into helium.', '1153, 6': 'The isotope turns into a different element.', '1224, 7': 'Heat from the fission turns water into steam.', '13, 1': 'Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.', '14, 1': 'Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.', '152, 4': 'Vapor turns into a solid.', '31, 5': 'The carbon dioxide turns into acid.', '392, 4': 'The pressure of the steam pushing against a series of giant blades turns the turbine shaft.', '393, 5': 'The heat turns the water into steam.', '393, 6': 'The steam turns a generator.', '422, 6': 'The steam turns the turbines.', '502, 4': 'The axle turns the wheels.', '503, 2': 'Someone turns the car on with a key.', '524, 4': 'Puberty turns the child into an adolescent.', '632, 3': 'Electricity turns the fan to keep the components cool.', '67, 9': 'The peat turns into coal after a long time.', '676, 5': 'The sediment turns into rock.', '695, 1': 'During evaporation the sun heats up water in rivers or lakes or the ocean and turns it into vapor or steam.', '823, 6': 'The water turns into steam.', '825, 10': 'The steam turns back into water.', '825, 6': 'The heat energy turns water into steam in a nuclear reactor.', '825, 7': 'The steam turns big turbines.', '852, 5': 'The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.', '852, 7': 'A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.', '873, 3': 'The refinery turns the crude oil into gasoline.', '876, 2': 'This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.', '893, 8': 'The liver turns stored glycogen into glucose.', '894, 3': 'The liver in response turns the glucagon into glucose.', '930, 5': 'The magma turns to lava in the air and travels down the volcano.', '947, 1': 'Evaporation of water at a surface turns into water vapors.', '947, 3': 'Condensation occurs when water vapor turns into tiny particles of water/ice.', '960, 7': 'The water turns into steam.'}"
1005,type,"{'483, 2': 'A paper is chosen to write or type on.'}"
1006,undergo,"{'526, 6': 'Teenagers undergo puberty.'}"
1007,undergo,"{'36, 2': 'The magma undergoes changes in temperature.', '36, 3': 'The magma undergoes changes in pressure.', '589, 8': 'UNDERGOES METAMORPHOSIS TO BECOME BUTTERFLY.'}"
1008,understand,"{'412, 10': 'The brain translates the message so you can understand.'}"
1009,understand,"{'900, 10': 'The brain understands the nerve signals as sound.'}"
1010,unload,"{'430, 8': 'The trash is unloaded.'}"
1011,unload,"{'431, 5': 'Unloads all the trash the truck has collected.'}"
1012,unused,"{'1158, 10': 'Unused materials passed into large intestine to become fecal matter.'}"
1013,unwound,"{'1203, 2': 'DNA is unwound partially so that it can be transcribed.'}"
1014,upset,"{'693, 3': 'This upsets the balance of the carbon cycle.'}"
1015,use,"{'1131, 4': 'They use a sticky, glue-like substance called propolis as a binding to hold their hives together.', '1137, 3': 'They use their highly sensitive hearing to locate prey that cannot be seen.', '1137, 4': 'They use their very keen vision to see prey in the dark.', '1204, 5': 'The mRNA attaches itself to the ribosome.  Read more at: http://www.ducksters.com/science/biology/proteins_and_amino_acids.php This text is Copyright    Ducksters. Do not use without permission.', '1214, 7': 'The cells use the sugar as energy.', '1224, 1': 'Nuclear plants use uranium-235, which is unstable.', '232, 7': 'Other animals use echolocation in generally similar ways.', '263, 8': 'The manufacturers process the recycled materials the same way they would use new materials.', '264, 7': 'The bales are shipped to manufacturers to use to make products.', '548, 3': 'Liver processes the good stuff into forms that the rest of the body can use.', '548, 6': 'The liver also stores extra carbohydrates as glycogen for the body to use as fuel when needed.', '634, 4': 'The systems use electricity to complete tasks.', '706, 2': 'You use the writing utensil to compose your letter on the paper.', '830, 4': 'The receptors use it like a factory.'}"
1016,use,"{'1059, 6': 'Water is collected and used again until dishes are clean.', '112, 9': 'The sugars can be used by the plant to make cellulose.', '1223, 2': 'Heat is used to create steam.', '1223, 3': 'Steam will be used to power turbines.', '1224, 5': 'Rods containing uranium are used in the power plant.', '330, 7': 'Sugars can be used as energy sources.', '396, 3': 'The heat is used to turn water into steam.', '401, 5': 'The ""jump"" between the two halves can be used to make direct current.', '401, 7': 'Alternating current can be used to power things in your house.', '460, 10': 'The energy can be used to generate power.', '634, 6': 'The energy is used to complete computations.', '661, 5': 'They absorb nitrates from the soil into their roots. Then the nitrogen gets used in amino acids, nucleic acids, and chlorophyll.', '686, 7': 'Hydrogen and carbon dioxide used to create glucose.', '687, 4': 'It is this energy that is used to split water molecules into hydrogen and oxygen.', '687, 6': 'Hydrogen and carbon dioxide are used to form glucose or food for plants.', '779, 5': ""The intermediate is used to produce glucose which is the plant's food."", '791, 5': 'Electricity is then sent into the home to be used.', '808, 6': 'Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.', '817, 6': 'Thread is attached and used to stitch the clothing.', '821, 2': 'The resulting heat energy is used to heat water.', '852, 5': 'The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.', '938, 2': 'The light energy is used to convert carbon dioxide.', '940, 4': 'Carbon dioxide and energy from ATP are used to create sugar.'}"
1017,use,"{'1136, 6': 'The owl uses their beak to eat the rodent.', '1310, 6': 'Squirrel uses its food stores in the winter.', '367, 4': 'The plant uses the water as part of the photosynthesis process.', '367, 6': ""The plant uses water to circulate the glucose around the plant to deliver the glucose to where it's needed."", '384, 4': 'The virus consumes part of the body or materials that the body uses.', '390, 7': 'The national grid uses high voltages to transmit electricity through the power lines.', '397, 4': 'The generator uses the spins of the shaft to rotate a rotor.', '489, 8': 'The small intestine uses enzymes to further break down the food.', '550, 2': 'The liver uses chemicals and proteins to treat the blood.', '563, 5': 'Piston uses the steam as energy.', '624, 2': 'The liver uses enzymes to clean the blood.', '769, 5': 'The plant uses that glucose as energy to grow.', '834, 4': 'The virus uses the cell like a factory to make new copies of the virus.', '938, 3': 'The plant uses nutrients in the soil.', '938, 4': 'The plant uses carbon dioxide in the air to produce glucose.', '938, 5': 'The plant uses the glucose to give itself energy.'}"
1018,use,"{'779, 2': 'Using sunlight, the plant separates the hydrogen and oxygen molecules through the process of photosynthesis.', '830, 2': 'The receptors will lock onto a target cell using these chemical receptors on the surface, which docks onto the cell surface.', '876, 2': 'This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.'}"
1019,vent,"{'1208, 7': 'Exhaust valve opens to vent exhaust out tail pipe.'}"
1020,venture,"{'518, 3': 'The young fish remain where they hatched until they are big enough to venture into the open water.'}"
1021,vibrate,"{'900, 4': 'The hammer, anvil, and stirrup bones vibrate.'}"
1022,vibrate,"{'1250, 5': 'A membrane in the other persons phone is vibrated by the magnet in their telephone.'}"
1023,vibrate,"{'412, 3': 'Eardrum vibrates with the incoming sound.', '900, 7': 'The cochlea vibrates.'}"
1024,visit,"{'443, 1': 'A bee visits a flower.', '745, 1': 'A bee visits a flower.'}"
1025,wait,"{'1004, 4': 'Wait for several hours.', '1137, 2': 'They sit still on a perch, like a stump of branch, and wait for prey.', '286, 3': 'Wait 5 to 6 hours.', '287, 8': 'Wait.', '435, 3': 'You wait for the seeds to sprout.', '436, 4': 'Wait for a few minutes.', '436, 6': 'Wait until the water starts to bubble a lot.', '436, 7': 'Wait until you can see steam rising from the water.'}"
1026,wait,"{'574, 4': 'The passenger waits in line.'}"
1027,wake,"{'1085, 8': 'Wake up.', '1087, 8': 'Wake up and enjoy nature.'}"
1028,wander,"{'784, 3': 'The animal wanders to another area.'}"
1029,want,"{'484, 1': 'Choose what you want to write your letter on.', '484, 2': 'Think of what you want to say.'}"
1030,want,"{'1055, 4': 'Only wanted elements are passed to within the plant.'}"
1031,want,"{'1184, 3': 'The electrons wants to rearrange themselves to get rid of this difference.', '1260, 3': 'The spider attaches it to objects where it wants to build the web.'}"
1032,warm,"{'1053, 8': 'The colder air is then warmed by the floor and the plants.', '720, 3': 'The oceans are warmed.'}"
1033,warming,"{'493, 5': 'They emerge from the den when the weather is warming up again.'}"
1034,be,"{'1146, 9': 'The star is much larger than it was.'}"
1035,wash,"{'1205, 1': 'You wash the wound.'}"
1036,wash,"{'557, 3': 'The grapes are washed.', '693, 7': 'The wind can blow these gasses for miles and then they get washed out of the air when it rains.'}"
1037,wash,"{'11, 1': 'Water from the ocean washes onto beaches in waves.', '31, 4': 'The carbon dioxide in the rain washes through the soil.', '607, 4': ""Washes them away so plants can't benefit from them."", '936, 4': 'Water washes the sediment back.'}"
1038,waste,"{'846, 3': 'The liver releases waste in the form of urea.'}"
1039,water,"{'1059, 3': 'Pump forces water up in pipes connected to spinning paddles.', '1083, 4': 'You water the seed.', '1084, 4': ""Don't water directly on the leaves."", '435, 2': 'You water the seeds.'}"
1040,water,"{'321, 5': 'Irrigation is set up to keep the crops properly watered.'}"
1041,weaken,"{'1099, 2': 'The vaccine contains a weakened version of the virus or bacteria responsible for the disease.'}"
1042,wear,"{'472, 9': 'Water and wind erosion wear away the layers of soil on top of the fossil.'}"
